,Gprompt
0,"news title: How to report weather-related closings, delays
news category: news
news subcategory: newsscienceandtechnology
Can you generate a news abstract of less than 100 words?
Please only return the generated text!"
1,"news title: John Dorsey admits talks with Washington, but it ""takes two to tango""
news category: sports
news subcategory: football_nfl
Can you generate a news abstract of less than 100 words?
Please only return the generated text!"
2,"news title: A little snow causes a big mess, more than 100 crashes on Minnesota roads
news category: weather
news subcategory: weathertopstories
Can you generate a news abstract of less than 100 words?
Please only return the generated text!"
3,"news title: 40 Things I Wish I Could Tell My Younger Self
news category: lifestyle
news subcategory: voices
Can you generate a news abstract of less than 100 words?
Please only return the generated text!"
4,"news title: Do You Hate Meditating? So Do These People, But They Do It Anyway
news category: lifestyle
news subcategory: lifestylemindandsoul
Can you generate a news abstract of less than 100 words?
Please only return the generated text!"
5,"news title: All eyes on Drew Brees as possibility of return nears
news category: sports
news subcategory: football_nfl
Can you generate a news abstract of less than 100 words?
Please only return the generated text!"
6,"news title: Restaurants to Satisfy Late Night Cravings in Louisville and Beyond
news category: foodanddrink
news subcategory: newstrends
Can you generate a news abstract of less than 100 words?
Please only return the generated text!"
7,"news title: Man killed in officer-involved shooting in St. Louis
news category: news
news subcategory: newsus
Can you generate a news abstract of less than 100 words?
Please only return the generated text!"
8,"news title: Patriots vs. Ravens: 3 keys to the game, fun facts, prediction
news category: sports
news subcategory: football_nfl
Can you generate a news abstract of less than 100 words?
Please only return the generated text!"
9,"news title: Multi-vehicle accident on I-64 in James City County causes miles-long backup
news category: news
news subcategory: newsus
Can you generate a news abstract of less than 100 words?
Please only return the generated text!"
10,"news title: BP profit beats as strong refining offsets lower oil price
news category: finance
news subcategory: finance-top-stocks
Can you generate a news abstract of less than 100 words?
Please only return the generated text!"
11,"news title: The Best Seafood Restaurant in All 50 States
news category: foodanddrink
news subcategory: restaurantsandnews
Can you generate a news abstract of less than 100 words?
Please only return the generated text!"
12,"news title: It's illegal to leave your pumpkins outside in Maricopa County
news category: news
news subcategory: newsoffbeat
Can you generate a news abstract of less than 100 words?
Please only return the generated text!"
13,"news title: Maryland police ID man killed in crash of semi hauling beer
news category: news
news subcategory: newsworld
Can you generate a news abstract of less than 100 words?
Please only return the generated text!"
14,"news title: 50 Great Jobs for Retirees
news category: finance
news subcategory: finance-career
Can you generate a news abstract of less than 100 words?
Please only return the generated text!"
15,"news title: Grieder: Special election in House District 28 portends a deeply polarized 2020 election cycle
news category: news
news subcategory: newspolitics
Can you generate a news abstract of less than 100 words?
Please only return the generated text!"
16,"news title: Sacramento police look for driver in deadly hit-and-run
news category: news
news subcategory: newsus
Can you generate a news abstract of less than 100 words?
Please only return the generated text!"
17,"news title: Bicyclist struck by train in Beverly; Delays on Newburyport/Rockport line
news category: autos
news subcategory: autosnews
Can you generate a news abstract of less than 100 words?
Please only return the generated text!"
18,"news title: Trolls Told Me I'm Too Ugly To Post Pics. Then I Did And Something Incredible Happened.
news category: lifestyle
news subcategory: voices
Can you generate a news abstract of less than 100 words?
Please only return the generated text!"
19,"news title: Bare Knuckle Knockout! Watch Gabriel Gonzaga Whup Bigfoot Silva In Tampa
news category: sports
news subcategory: mma
Can you generate a news abstract of less than 100 words?
Please only return the generated text!"
20,"news title: Southwest flight attendant alleges pilots live streamed video from camera in lavatory
news category: news
news subcategory: newsscienceandtechnology
Can you generate a news abstract of less than 100 words?
Please only return the generated text!"
21,"news title: Wolverines in the NFL: Top performances from Week 8
news category: sports
news subcategory: football_nfl
Can you generate a news abstract of less than 100 words?
Please only return the generated text!"
22,"news title: Man accused of hatchet attack charged with attempted murder
news category: sports
news subcategory: basketball_nba
Can you generate a news abstract of less than 100 words?
Please only return the generated text!"
23,"news title: 25-year-old killed in Arlington shooting, police say
news category: news
news subcategory: newscrime
Can you generate a news abstract of less than 100 words?
Please only return the generated text!"
24,"news title: How Costco and other bargain stores stay so cheap
news category: finance
news subcategory: finance-savemoney
Can you generate a news abstract of less than 100 words?
Please only return the generated text!"
25,"news title: Following Trump's endorsement, Spicer has emotional night on 'Dancing With the Star'
news category: video
news subcategory: popculture
Can you generate a news abstract of less than 100 words?
Please only return the generated text!"
26,"news title: 14 Wild Dog And Cat Species That Are Amazingly Rare
news category: lifestyle
news subcategory: lifestylepetsanimals
Can you generate a news abstract of less than 100 words?
Please only return the generated text!"
27,"news title: Crews spray down Golden Ray cargo ship after white smoke billows out
news category: travel
news subcategory: travelarticle
Can you generate a news abstract of less than 100 words?
Please only return the generated text!"
28,"news title: Heat suspend Dion Waiters one game for 'conduct detrimental to the team'
news category: sports
news subcategory: basketball_nba
Can you generate a news abstract of less than 100 words?
Please only return the generated text!"
29,"news title: 15 Abandoned Places That You Can See Only in Pictures
news category: lifestyle
news subcategory: lifestyledidyouknow
Can you generate a news abstract of less than 100 words?
Please only return the generated text!"
30,"news title: NFL rushing title likely to go down to the wire
news category: sports
news subcategory: football_nfl
Can you generate a news abstract of less than 100 words?
Please only return the generated text!"
31,"news title: The best hair metal bands
news category: music
news subcategory: music-gallery
Can you generate a news abstract of less than 100 words?
Please only return the generated text!"
32,"news title: Dallas-Fort Worth football teams undefeated through Week 8 of the 2019 season
news category: sports
news subcategory: football_ncaa
Can you generate a news abstract of less than 100 words?
Please only return the generated text!"
33,"news title: How to Downsize Your Home: 12 Easy Tips
news category: lifestyle
news subcategory: lifestylehomeandgarden
Can you generate a news abstract of less than 100 words?
Please only return the generated text!"
34,"news title: House Republicans try to force a vote on censuring Adam Schiff
news category: news
news subcategory: newspolitics
Can you generate a news abstract of less than 100 words?
Please only return the generated text!"
35,"news title: Our 73 Best Pie Recipes of All Time
news category: foodanddrink
news subcategory: recipes
Can you generate a news abstract of less than 100 words?
Please only return the generated text!"
36,"news title: Child falls from 9th floor balcony in White Oak, Maryland, officials say
news category: lifestyle
news subcategory: lifestylebuzz
Can you generate a news abstract of less than 100 words?
Please only return the generated text!"
37,"news title: These are the best o' the best PC games available today
news category: entertainment
news subcategory: gaming
Can you generate a news abstract of less than 100 words?
Please only return the generated text!"
38,"news title: Crockett Row adds 2 bar-restaurants, but also hooks a big one: Dallas' The Blue Fish
news category: travel
news subcategory: traveltripideas
Can you generate a news abstract of less than 100 words?
Please only return the generated text!"
39,"news title: The Action Network: Early pick with best value for Kansas
news category: sports
news subcategory: racing
Can you generate a news abstract of less than 100 words?
Please only return the generated text!"
40,"news title: The Problematic Politics Of Style And Gender Identity In The Workplace
news category: lifestyle
news subcategory: lifestylebuzz
Can you generate a news abstract of less than 100 words?
Please only return the generated text!"
41,"news title: Large tree falls, blocks at least two roads during morning commute
news category: weather
news subcategory: weathertopstories
Can you generate a news abstract of less than 100 words?
Please only return the generated text!"
42,"news title: Pollution around the world: 30 shocking photos
news category: lifestyle
news subcategory: causes-green-living
Can you generate a news abstract of less than 100 words?
Please only return the generated text!"
43,"news title: Lebanon protests enter second week
news category: news
news subcategory: newsworld
Can you generate a news abstract of less than 100 words?
Please only return the generated text!"
44,"news title: 'Voice' fans love heartthrob who looks like 'combination of Tom Cruise and Christian Bale'
news category: video
news subcategory: popculture
Can you generate a news abstract of less than 100 words?
Please only return the generated text!"
45,"news title: Man dies following boating accident in Indiana reservoir
news category: news
news subcategory: newsus
Can you generate a news abstract of less than 100 words?
Please only return the generated text!"
46,"news title: I Was 24 & Had Just Scored My Dream Job In Fashion. Then An Accident In The Hamptons Changed Everything.
news category: health
news subcategory: voices
Can you generate a news abstract of less than 100 words?
Please only return the generated text!"
47,"news title: Houstonian (and Boondock Saint) Sean Patrick Flanery comes home for Fandemic
news category: travel
news subcategory: travelarticle
Can you generate a news abstract of less than 100 words?
Please only return the generated text!"
48,"news title: Clashing Protestors Get Heated Over Confederate Memorial
news category: news
news subcategory: newsworld
Can you generate a news abstract of less than 100 words?
Please only return the generated text!"
49,"news title: Secrets of the world's richest company of all time
news category: finance
news subcategory: finance-companies
Can you generate a news abstract of less than 100 words?
Please only return the generated text!"
50,"news title: Lori Loughlin faces moment of truth in college admissions scandal as daughters exit USC
news category: news
news subcategory: newsus
Can you generate a news abstract of less than 100 words?
Please only return the generated text!"
51,"news title: 15-year-old killed in suspected DUI crash in Placer County, CHP says
news category: news
news subcategory: newsus
Can you generate a news abstract of less than 100 words?
Please only return the generated text!"
52,"news title: Kansas City woman uses personal journey to help other victims of sex trafficking
news category: news
news subcategory: newsus
Can you generate a news abstract of less than 100 words?
Please only return the generated text!"
53,"news title: Ask The Salty Waitress: The cashier is texting instead of ringing up my order
news category: lifestyle
news subcategory: advice
Can you generate a news abstract of less than 100 words?
Please only return the generated text!"
